Order ID,Order Date,Delivery date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,,,,
CA-2016-103982,03-03-2016,03-08-2016,Standard Class,AA-10315,Alex Avila,Consumer,United States,Round Rock,Texas,78664,Central,Office Supplies,Supplies,High Speed Automatic Electric Letter Opener,3930.072,3,0.2,-786.0144,East,Corporate,,
CA-2014-116246,09-12-2014,2014-17-09,Second Class,LW-17215,Luke Weiss,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3785.292,6,0.1,420.588,East,Consumer,,
CA-2016-122903,2016-27-05,2016-29-05,Second Class,LA-16780,Laura Armstrong,Corporate,United States,Detroit,Michigan,48205,Central,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,3504.9,5,0,700.98,Central,Home Office,,
CA-2014-163223,2014-21-03,2014-25-03,Standard Class,KH-16690,Kristen Hastings,Corporate,United States,Springfield,Virginia,22153,South,Technology,Phones,Samsung Galaxy S4 Active,3499.93,7,0,909.9818,Central,Corporate,,
CA-2016-107104,2016-26-11,2016-30-11,Standard Class,MS-17365,Maribeth Schnelling,Consumer,United States,Los Angeles,California,90045,West,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,3406.664,8,0.15,160.3136,Central,Consumer,,
CA-2017-165323,2017-17-06,2017-21-06,Standard Class,SR-20740,Steven Roelle,Home Office,United States,New York City,New York,10024,East,Technology,Machines,Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,5,0,1668.205,South,Home Office,,
CA-2015-164301,2015-26-03,2015-30-03,Standard Class,EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98103,West,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,3393.68,8,0,610.8624,South,Corporate,,
CA-2017-133865,05-08-2017,05-12-2017,Standard Class,PS-19045,Penelope Sewall,Home Office,United States,Los Angeles,California,90032,West,Technology,Copiers,Canon Imageclass D680 Copier / Fax,3359.952,6,0.2,1049.985,South,Consumer,,
US-2015-150630,2015-17-09,2015-21-09,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,,,,
CA-2015-102491,2015-24-08,2015-28-08,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Florence,Kentucky,41042,South,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,3080,7,0,1416.8,,,,
US-2014-106992,2014-19-09,2014-21-09,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,3,0.4,-509.997,,,,
CA-2017-159366,01-07-2017,01-10-2017,First Class,BW-11110,Bart Watters,Corporate,United States,Detroit,Michigan,48205,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,3059.982,2,0.1,679.996,,,,
US-2015-163825,2015-16-06,2015-19-06,First Class,LC-16885,Lena Creighton,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376,3,0.2,1143.891,,,,
CA-2016-160717,06-06-2016,06-11-2016,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Santa Barbara,California,93101,West,Technology,Phones,Samsung Galaxy Mega 6.3,3023.928,9,0.2,226.7946,,,,
CA-2017-127432,2017-22-01,2017-27-01,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Great Falls,Montana,59405,West,Technology,Copiers,Canon Image Class D660 Copier,2999.95,5,0,1379.977,,,,
CA-2014-119375,2014-17-11,2014-22-11,Standard Class,YC-21895,Yoseph Carroll,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,2934.33,7,0,792.2691,,,,
CA-2017-145219,2017-24-12,2017-25-12,First Class,RM-19675,Robert Marley,Home Office,United States,Los Angeles,California,90049,West,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2879.952,6,0.2,1007.9832,,,,
CA-2014-120474,12-01-2014,12-03-2014,First Class,RP-19390,Resi Pölking,Consumer,United States,Madison,Wisconsin,53711,Central,Furniture,Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,2807.84,8,0,673.8816,,,,
CA-2015-164777,2015-27-01,2015-29-01,First Class,SC-20305,Sean Christensen,Consumer,United States,Los Angeles,California,90036,West,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2803.92,5,0.2,0,,,,
US-2015-100377,2015-28-08,09-01-2015,Standard Class,TS-21370,Todd Sumrall,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,Canon Imageclass D680 Copier / Fax,2799.96,5,0.2,874.9875,,,,
CA-2017-119809,2017-18-08,2017-25-08,Standard Class,YS-21880,Yana Sorensen,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2793.528,9,0.2,942.8157,,,,
CA-2014-154627,2014-29-10,2014-31-10,First Class,SA-20830,Sue Ann Reed,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,Apple iPhone 5S,2735.952,6,0.2,341.994,,,,
CA-2014-117639,2014-21-05,2014-25-05,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,23464,South,Office Supplies,Binders,Fellowes PB300 Plastic Comb Binding Machine,2715.93,7,0,1276.4871,,,,
US-2016-164196,11-11-2016,2016-17-11,Standard Class,AS-10285,Alejandro Savely,Corporate,United States,Noblesville,Indiana,46060,Central,Furniture,Tables,Balt Solid Wood Round Tables,2678.94,6,0,241.1046,,,,
CA-2015-111038,12-01-2015,12-06-2015,Standard Class,LC-16960,Lindsay Castell,Home Office,United States,San Diego,California,92037,West,Furniture,Chairs,GuestStacker Chair with Chrome Finish Legs,2676.672,9,0.2,267.6672,,,,
CA-2015-123113,2015-23-11,2015-27-11,Second Class,AT-10735,Annie Thurman,Consumer,United States,Morristown,New Jersey,7960,East,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",2625.12,8,0,735.0336,,,,
CA-2015-160227,11-02-2015,11-04-2015,First Class,ED-13885,Emily Ducich,Home Office,United States,New York City,New York,10011,East,Furniture,Chairs,Hon Olson Stacker Chairs,2621.322,11,0.1,553.3902,,,,
CA-2017-112333,04-08-2017,2017-14-04,Standard Class,KF-16285,Karen Ferguson,Home Office,United States,Plainfield,New Jersey,7060,East,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,2591.56,4,0,621.9744,,,,
US-2016-116729,2016-25-12,2016-28-12,First Class,GK-14620,Grace Kelly,Corporate,United States,Los Angeles,California,90049,West,Technology,Phones,Samsung Galaxy Note 2,2575.944,7,0.2,257.5944,,,,
CA-2014-167199,01-06-2014,01-10-2014,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,9,0,746.4078,,,,
CA-2015-120677,2015-31-05,06-04-2015,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Chairs,Hon Pagoda Stacking Chairs,2567.84,8,0,770.352,,,,
CA-2016-169670,2016-25-12,2016-31-12,Standard Class,JE-15715,Joe Elijah,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,2563.056,8,0.1,313.2624,,,,
CA-2015-162782,2015-21-02,2015-27-02,Standard Class,PW-19240,Pierre Wener,Consumer,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2541.98,2,0,1270.99,,,,
CA-2017-160885,12-02-2017,12-06-2017,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Omaha,Nebraska,68104,Central,Technology,Phones,ClearOne CHATAttach 160 - speaker phone,2479.96,4,0,743.988,,,,
CA-2017-122490,2017-13-11,2017-18-11,Standard Class,TT-21070,Ted Trevino,Consumer,United States,Seattle,Washington,98103,West,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,2404.704,6,0.2,150.294,,,,
US-2017-135013,2017-24-07,2017-24-07,Same Day,HR-14830,Harold Ryan,Corporate,United States,Huntington Beach,California,92646,West,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2399.96,5,0.2,839.986,,,,
CA-2016-107202,2016-21-05,2016-28-05,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Sparks,Nevada,89431,West,Technology,Machines,Panasonic KX MB2061 Multifunction Printer,2396.4,10,0.2,179.73,,,,
US-2017-163300,2017-15-09,2017-21-09,Standard Class,ES-14020,Erica Smith,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,GBC DocuBind 200 Manual Binding Machine,2357.488,7,0.2,884.058,,,,
CA-2015-169796,11-09-2015,2015-14-11,Standard Class,Dp-13240,Dean percer,Home Office,United States,New York City,New York,10035,East,Technology,Machines,Zebra ZM400 Thermal Label Printer,2321.9,2,0,1114.512,,,,
CA-2015-124891,2015-31-07,2015-31-07,Same Day,RH-19495,Rick Hansen,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,7,0,762.1845,,,,
US-2016-113677,2016-13-11,2016-19-11,Standard Class,CM-12655,Corinna Mitchell,Home Office,United States,New York City,New York,10011,East,Technology,Phones,Xiaomi Mi3,2279.96,4,0,592.7896,,,,
CA-2016-113831,2016-30-05,06-03-2016,Standard Class,AH-10690,Anna Häberlin,Corporate,United States,Springfield,Virginia,22153,South,Furniture,Tables,Hon Rectangular Conference Tables,2275.5,10,0,386.835,,,,
CA-2014-169019,2014-26-07,2014-30-07,Standard Class,LF-17185,Luke Foster,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,2177.584,8,0.8,-3701.8928,,,,
CA-2014-128209,2014-17-11,2014-22-11,Standard Class,GT-14710,Greg Tran,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,2152.776,3,0.2,726.5619,,,,
CA-2016-143805,12-01-2016,12-03-2016,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Richmond,Virginia,23223,South,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,2104.55,7,0,694.5015,,,,
CA-2016-163804,12-02-2016,12-08-2016,Standard Class,DB-13270,Deborah Brumfield,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,Deluxe Rollaway Locking File with Drawer,2079.4,5,0,582.232,,,,
CA-2014-169726,08-09-2014,2014-13-08,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,2060.744,7,0.2,643.9825,,,,
CA-2017-107174,11-06-2017,2017-13-11,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Seattle,Washington,98105,West,Furniture,Tables,Hon 5100 Series Wood Tables,2036.86,7,0,366.6348,,,,
CA-2015-147830,2015-15-12,2015-18-12,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,Plantronics Savi W720 Multi-Device Wireless Headset System,2025.36,6,0.2,607.608,,,,
CA-2017-111738,01-03-2017,01-07-2017,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,2022.272,8,0.2,682.5168,,,,
CA-2015-137113,12-01-2015,12-05-2015,Second Class,TW-21025,Tamara Willingham,Home Office,United States,Seattle,Washington,98105,West,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,2003.92,5,0.2,125.245,,,,
CA-2016-155530,2016-17-12,2016-21-12,Standard Class,CM-12160,Charles McCrossin,Consumer,United States,San Francisco,California,94122,West,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,2003.52,6,0.2,-325.572,,,,
CA-2014-131926,06-01-2014,06-06-2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,580.5394,,,,
CA-2016-157791,2016-23-12,2016-28-12,Second Class,CA-11965,Carol Adams,Corporate,United States,Warwick,Rhode Island,2886,East,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1999.96,4,0,899.982,,,,
CA-2016-133725,2016-23-05,2016-28-05,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Phones,Mitel MiVoice 5330e IP Phone,1979.928,9,0.2,148.4946,,,,
CA-2017-123372,2017-28-11,12-02-2017,Standard Class,DG-13300,Deirdre Greer,Corporate,United States,New York City,New York,10035,East,Technology,Phones,Google Nexus 5,1979.89,11,0,494.9725,,,,
CA-2017-121559,06-01-2017,06-03-2017,Second Class,HW-14935,Helen Wasserman,Corporate,United States,Indianapolis,Indiana,46203,Central,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,1925.88,6,0,539.2464,,,,
CA-2017-136308,2017-16-11,2017-16-11,Same Day,MW-18235,Mitch Willingham,Corporate,United States,San Francisco,California,94122,West,Technology,Machines,Bady BDG101FRU Card Printer,1919.976,3,0.2,215.9973,,,,
US-2017-122714,12-07-2017,2017-13-12,Standard Class,HG-14965,Henry Goldwyn,Corporate,United States,Chicago,Illinois,60653,Central,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,1889.99,5,0.8,-2929.4845,,,,
CA-2017-119452,2017-21-03,2017-27-03,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",1805.88,6,0,523.7052,,,,
US-2017-117723,2017-15-08,2017-18-08,Second Class,DL-13495,Dionis Lloyd,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,Tennsco Single-Tier Lockers,1801.632,6,0.2,-337.806,,,,
CA-2015-134719,10-10-2015,2015-15-10,Standard Class,JD-15790,John Dryer,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Storage,Tennsco Single-Tier Lockers,1801.632,6,0.2,-337.806,,,,
CA-2014-116666,05-08-2014,05-10-2014,First Class,KT-16480,Kean Thornton,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1799.97,5,0.4,239.996,,,,
CA-2017-141789,10-03-2017,10-06-2017,First Class,AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1793.98,2,0,843.1706,,,,
CA-2016-101546,2016-18-12,2016-24-12,Standard Class,GK-14620,Grace Kelly,Corporate,United States,Morristown,New Jersey,7960,East,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1793.98,2,0,843.1706,,,,
CA-2014-152268,09-02-2014,09-07-2014,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,Fayetteville,Arkansas,72701,South,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1793.98,2,0,843.1706,,,,
CA-2014-141313,2014-28-12,01-01-2015,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Beverly,Massachusetts,1915,East,Office Supplies,Appliances,Hoover Upright Vacuum With Dirt Cup,1737.18,6,0,503.7822,,,,
CA-2017-113418,10-01-2017,10-03-2017,First Class,CM-12655,Corinna Mitchell,Home Office,United States,New York City,New York,10035,East,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,1704.89,11,0,767.2005,,,,
CA-2015-158421,2015-21-09,2015-26-09,Standard Class,GB-14575,Giulietta Baptist,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,Global Comet Stacking Arm Chair,1690.04,4,0,422.51,,,,
US-2016-102239,05-05-2016,05-06-2016,First Class,LW-16990,Lindsay Williams,Corporate,United States,Henderson,Nevada,89015,West,Furniture,Tables,Global Adaptabilities Conference Tables,1685.88,6,0,320.3172,,,,
CA-2014-131387,2014-28-04,2014-30-04,First Class,AI-10855,Arianne Irving,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,Samsung Galaxy Mega 6.3,1679.96,5,0.2,125.997,,,,
CA-2017-148446,12-10-2017,2017-14-12,Second Class,MC-17845,Michael Chen,Consumer,United States,North Las Vegas,Nevada,89031,West,Furniture,Tables,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,1669.6,4,0,116.872,,,,
CA-2017-158729,2017-19-12,2017-21-12,First Class,AC-10450,Amy Cox,Consumer,United States,Lafayette,Louisiana,70506,South,Office Supplies,Supplies,Martin Yale Chadless Opener Electric Letter Opener,1665.62,2,0,33.3124,,,,
CA-2016-142335,2016-15-12,2016-19-12,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205,Central,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1652.94,3,0,231.4116,,,,
CA-2016-153598,12-03-2016,12-06-2016,First Class,NM-18520,Neoma Murray,Consumer,United States,Los Angeles,California,90045,West,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,5,0,659.98,,,,
US-2017-167318,2017-26-07,08-01-2017,Standard Class,GZ-14545,George Zrebassa,Corporate,United States,Los Angeles,California,90036,West,Technology,Accessories,Logitech Z-906 Speaker sys - home theater - 5.1-CH,1649.95,5,0,659.98,,,,
CA-2016-125220,2016-14-10,2016-19-10,Standard Class,BE-11410,Bobby Elias,Consumer,United States,Appleton,Wisconsin,54915,Central,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,1649.75,5,0,544.4175,,,,
CA-2015-160171,2015-19-10,2015-24-10,Standard Class,RM-19675,Robert Marley,Home Office,United States,Los Angeles,California,90008,West,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7,5,0,459.396,,,,
CA-2017-107517,02-05-2017,02-09-2017,Standard Class,FC-14335,Fred Chung,Corporate,United States,Torrance,California,90503,West,Office Supplies,Appliances,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",1640.7,5,0,459.396,,,,
US-2017-120390,2017-19-10,2017-26-10,Standard Class,TH-21550,Tracy Hopkins,Home Office,United States,Burlington,North Carolina,27217,South,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,1633.188,4,0.7,-1306.5504,,,,
US-2015-126214,2015-21-12,2015-24-12,Second Class,JS-15880,John Stevenson,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,Bevis 36 x 72 Conference Tables,1618.37,13,0,356.0414,,,,
CA-2016-168354,2016-19-09,2016-21-09,First Class,RH-19510,Rick Huthwaite,Home Office,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",1606.23,9,0,481.869,,,,
CA-2016-128594,2016-26-08,2016-29-08,First Class,DJ-13510,Don Jones,Corporate,United States,San Diego,California,92037,West,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603.136,4,0.2,100.196,,,,
CA-2016-152247,11-07-2016,11-12-2016,Standard Class,MA-17995,Michelle Arnett,Home Office,United States,Cheyenne,Wyoming,82001,West,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603.136,4,0.2,100.196,,,,
CA-2016-102162,09-11-2016,2016-16-09,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,Newport News,Virginia,23602,South,Technology,Copiers,Canon PC-428 Personal Copier,1599.92,8,0,751.9624,,,,
CA-2015-155600,12-04-2015,12-07-2015,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1598.058,7,0.7,-1065.372,,,,
CA-2016-105207,01-03-2016,01-08-2016,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,74012,Central,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",1592.85,7,0,350.427,,,,
US-2014-148838,2014-17-03,2014-21-03,Standard Class,CP-12340,Christine Phan,Corporate,United States,New York City,New York,10024,East,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.746,7,0.4,-447.5947,,,,
CA-2017-103877,09-07-2017,2017-14-09,Standard Class,RD-19660,Robert Dilbeck,Home Office,United States,Independence,Missouri,64055,Central,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,1577.94,3,0,757.4112,,,,
CA-2017-146983,09-02-2017,09-06-2017,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,1577.94,3,0,757.4112,,,,
CA-2014-150245,2014-31-12,01-04-2015,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Watertown,New York,13601,East,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.488,7,0.2,196.686,,,,
CA-2016-169838,2016-25-11,2016-29-11,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Jackson,Michigan,49201,Central,Furniture,Tables,Chromcraft Round Conference Tables,1568.61,9,0,329.4081,,,,
US-2016-100461,01-08-2016,01-12-2016,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1565.88,6,0,407.1288,,,,
CA-2015-111514,2015-31-08,09-02-2015,First Class,SC-20260,Scott Cohen,Corporate,United States,San Francisco,California,94122,West,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1552.831,7,0.15,200.9546,,,,
CA-2015-101889,2015-27-12,2015-31-12,Standard Class,DB-13120,David Bremer,Corporate,United States,Marion,Ohio,43302,East,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",1548.99,9,0.4,-464.697,,,,
CA-2015-166947,06-05-2015,06-10-2015,Standard Class,EB-13750,Edward Becker,Corporate,United States,Buffalo,New York,14215,East,Furniture,Chairs,Hon Every-Day Series Multi-Task Chairs,1522.638,9,0.1,169.182,,,,
CA-2016-139997,07-01-2016,07-03-2016,First Class,EM-14140,Eugene Moren,Home Office,United States,Lehi,Utah,84043,West,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,1499.95,5,0,449.985,,,,
US-2017-109316,06-08-2017,06-10-2017,First Class,MG-17680,Maureen Gastineau,Home Office,United States,Los Angeles,California,90049,West,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",1497.666,2,0.15,140.9568,,,,
US-2017-134481,2017-27-08,09-01-2017,Standard Class,AR-10405,Allen Rosenblatt,Corporate,United States,Franklin,Massachusetts,2038,East,Furniture,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",1488.424,7,0.3,-297.6848,,,,
CA-2016-124590,11-12-2016,2016-16-11,Standard Class,SP-20920,Susan Pistek,Consumer,United States,Parma,Ohio,44134,East,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",1474.802,7,0.3,-21.0686,,,,
CA-2017-141733,05-07-2017,05-11-2017,Standard Class,RW-19540,Rick Wilson,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,1458.65,5,0,423.0085,,,,
